Customer_ID,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend,Recommendation_Index
1,1.0,Very satisfied,0.8888888888888888,0.9666666666666666
2,0.2222222222222222,Very satisfied,0.2222222222222222,0.2222222222222222
3,1.0,Very satisfied,0.0,0.7
4,0.6666666666666665,Needs improvement,0.3333333333333333,0.5666666666666665
5,0.7777777777777777,Unsatisfactory,0.6666666666666665,0.7444444444444442
6,0.2222222222222222,Needs improvement,0.0,0.15555555555555553
7,0.2222222222222222,Needs improvement,0.1111111111111111,0.18888888888888886
8,0.6666666666666665,Needs improvement,0.4444444444444445,0.5999999999999999
9,1.0,Good service,0.8888888888888888,0.9666666666666666
10,0.6666666666666665,Good service,0.0,0.4666666666666665
11,0.8888888888888888,Good service,0.3333333333333333,0.7222222222222221
12,0.5555555555555556,Unsatisfactory,0.2222222222222222,0.45555555555555555
13,0.6666666666666665,Very satisfied,0.4444444444444445,0.5999999999999999
14,1.0,Very satisfied,0.4444444444444445,0.8333333333333333
15,0.0,Needs improvement,1.0,0.3
16,0.6666666666666665,Excellent,0.1111111111111111,0.49999999999999983
17,0.1111111111111111,Needs improvement,0.4444444444444445,0.21111111111111108
18,0.6666666666666665,Unsatisfactory,0.8888888888888888,0.7333333333333332
19,0.2222222222222222,Needs improvement,0.4444444444444445,0.28888888888888886
20,0.8888888888888888,Good service,1.0,0.922222222222222
21,0.4444444444444445,Unsatisfactory,0.1111111111111111,0.34444444444444444
22,0.6666666666666665,Unsatisfactory,0.6666666666666665,0.6666666666666665
23,0.7777777777777777,Good service,0.5555555555555556,0.7111111111111109
24,0.1111111111111111,Good service,0.6666666666666665,0.27777777777777773
25,0.0,Good service,0.7777777777777777,0.23333333333333328
26,0.6666666666666665,Good service,1.0,0.7666666666666665
27,0.5555555555555556,Unsatisfactory,0.4444444444444445,0.5222222222222223
28,0.5555555555555556,Good service,0.1111111111111111,0.4222222222222222
29,0.1111111111111111,Good service,0.6666666666666665,0.27777777777777773
30,0.2222222222222222,Unsatisfactory,0.6666666666666665,0.3555555555555555
31,0.3333333333333333,Needs improvement,0.7777777777777777,0.46666666666666656
32,0.2222222222222222,Needs improvement,0.6666666666666665,0.3555555555555555
33,0.1111111111111111,Unsatisfactory,1.0,0.37777777777777777
34,0.2222222222222222,Good service,0.6666666666666665,0.3555555555555555
35,0.5555555555555556,Needs improvement,0.8888888888888888,0.6555555555555556
36,0.8888888888888888,Very satisfied,0.7777777777777777,0.8555555555555554
37,0.3333333333333333,Very satisfied,0.1111111111111111,0.26666666666666666
